0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.5,0.0,0.50547945,0.0,0.5561644,1.0,0.52666664,0.0,0.0,0.95266664,0.0,0.50009286,0.0,0.5065795,0.0,0.0,0.50009286,0.0,0.5065795,0.0
0.0,0.5,0.0,0.0,0.0,0.26923078,0.5,0.5,1.0,0.5,0.50000066,0.50002927,0.0,0.0,0.0,0.50000066,0.50002927,0.0,0.0,0.0
1.0,0.5082192,0.0,0.6544521,0.76506853,1.0,0.0,0.53466666,0.54066664,0.0,0.50000066,0.0,0.0,0.0,0.5001836,0.50000066,0.0,0.0,0.0,0.5001836
0.5,0.0,0.0,0.0,1.0,0.26923078,0.52666664,0.0,0.0,0.5913333,0.0,0.5000668,0.0,0.5053717,0.0,0.0,0.5000668,0.0,0.5053717,0.0
0.0,0.5,0.0,0.0,0.5979452,0.26923078,0.0,0.0,0.532,0.55,0.50004417,0.0,0.0,0.5002137,0.50000656,0.50004417,0.0,0.0,0.5002137,0.50000656
0.5,0.0,0.50547945,0.0,1.0,1.0,0.52666664,0.0,0.0,0.63133335,0.50000066,0.50004375,0.0,0.5019854,0.0,0.0,0.50004375,0.0,0.0,0.50012404
1.0,0.5082192,0.0,0.6544521,0.7541096,0.5,0.0,0.53466666,0.5426667,0.0,0.5000179,0.0,0.0,0.0,0.5001795,0.5000179,0.0,0.0,0.0,0.5001795
0.0,0.5,0.0,0.0,0.5260274,0.26923078,0.53166664,0.0,0.0,1.0,0.0,0.50009716,0.0,0.0,0.0,0.0,0.50009716,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.5931507,0.26923078,0.0,0.0,0.532,0.54933333,0.5000509,0.0,0.0,0.5002324,0.5000077,0.5000509,0.0,0.0,0.5002324,0.5000077
1.0,0.5082192,0.5082192,0.0,0.0,1.0,0.53466666,0.0,0.0,0.0,0.0,0.5000389,0.50004655,0.0,0.0,0.0,0.5000389,0.50004655,0.0,0.0
0.5,0.0,0.0,0.0,0.569863,1.0,0.53066665,0.0,0.0,1.0,0.0,0.50022006,0.0,0.5011002,0.0,0.0,0.50022006,0.0,0.5011002,0.0
